iteration,avg_reward_long,rolling_avg_reward_long
0,165.75514731435777,165.75514731435777
1,188.98128528556825,177.36821629996302
2,189.07019143657683,181.2688746788343
3,189.55471801185607,183.34033551208972
4,193.19628348464965,185.31152510660172
5,192.0231977689743,186.43013721699717
6,194.33004014453888,187.55869477807457
7,189.13973934440614,187.756325348866
8,192.6800637863159,188.30340739747155
9,191.27411932106017,188.6004785898304
10,188.05004703559877,188.55043935762754
11,191.326064547348,188.7817414567709
12,191.4011401987076,188.98323366768912
13,191.23950543937684,189.1443959370954
14,189.71698307380677,189.18256841287615
15,192.69848873081207,189.40231343274715
16,193.8221654401779,189.6623047273019
17,193.1332512271881,189.85513508840666
18,195.0454398607254,190.12830902379187
19,190.94298940076828,190.16904304264068
20,192.70773784236908,190.28993327119917
21,190.1319729866028,190.28275325826297
22,193.22144138832093,190.41052230739592
23,190.5340394194603,190.41566885373194
24,191.23366127243042,190.44838855047988
25,194.5163405078888,191.59883627822114
26,192.24399824504852,191.72934479660034
27,193.8138184120178,191.919089875618
28,194.90137762680052,192.13295626021576
29,190.73181024532317,192.03437733064268
30,192.6366715286255,192.05891628102873
31,192.49548375110626,191.98553402529143
32,194.13545754871367,192.18536275346375
33,192.66506603412628,192.18476284337615
34,191.96442249507905,192.2123749703369
35,194.4398240375519,192.46796605041504
36,190.60195267620088,192.43900157556916
37,191.14874641180037,192.42890582409288
38,193.69908240566252,192.5272889027443
39,190.649194962883,192.56457737830732
40,193.08415829811096,192.5800041609993
41,193.54491475896836,192.56891413375087
42,193.27875236110688,192.57473417910765
43,189.9061236336708,192.36916153002548
44,191.59643550281524,192.39529937410737
45,192.61794717550276,192.3917077474327
46,192.89898361587524,192.50238817260356
47,191.1685638817787,192.42027307234184
48,194.14863823871613,192.56485702511208
49,193.64267432765962,192.6612175473212
50,191.0579230682373,192.52288084973515
51,190.29555931053162,192.44494329235442
52,194.4126486328125,192.46889650118624
53,194.54797465286254,192.4547603822287
54,192.2201278831482,192.51429308774175
55,192.7241450920105,192.51779203027712
56,193.8357442100525,192.571402448635
57,191.98323978347779,192.48531373802558
58,192.44490336151122,192.47650723112096
59,192.5432937877655,192.4996620828284
60,191.32765420074463,192.3751752893561
61,189.35081305732726,192.3251297046011
62,190.7761768032074,192.31022692025738
63,194.7293593799591,192.3514379992292
64,190.86023317184447,192.35987952758768
65,188.47136249332428,192.17536769539623
66,193.69120255851746,192.1812192073782
67,191.4315461906433,192.10733096055964
68,190.3406148010254,192.1247106072538
69,192.88067776527404,192.17608029775212
70,188.3759025695801,192.00639851351522
71,193.4741312397003,192.02940441846826
72,191.80580422973634,192.05489403238658
73,190.21194283447267,191.89742621621684
74,190.5118601902008,191.77219365071855
75,193.54300249938964,191.8715968279646
76,190.5297027873993,191.88096256703932
77,191.7585949443817,191.77480041950207
78,190.0953141571045,191.59669399967177
79,193.25567196979523,191.63811576313762
80,195.15092217330934,191.73518684638955
81,192.03146916046143,191.6630158444059
82,189.3197429042816,191.55647596923802
83,186.86846241226198,191.33341833126804
84,194.7488689289093,191.4216413369138
85,190.56160848197936,191.39099950816322
86,192.84830693855287,191.5308992634122
87,190.04484464759827,191.5016459771878
88,193.85883731002806,191.4668250943906
89,191.7739608013153,191.50337419956938
90,192.4519572555542,191.66259799005857
91,193.55185559654237,191.6570241115796
92,190.65672645378112,191.62603132210512
93,191.55554095191957,191.67462836814084
94,192.3498252878189,191.65339426904268
95,190.50822275123596,191.73868707630893
96,191.7201344260216,191.66852720376176
97,193.3511129447937,191.7303395523641
98,190.16052716827392,191.7282829257162
99,190.06673002300263,191.7104777190282
100,192.67405100593567,191.67571965929005
101,190.36729457893372,191.66922333095144
102,192.54448152160646,191.70065879404044
103,189.79915042390823,191.68881224471252
104,190.62107557506562,191.58342838892335
105,192.10322110824586,191.46152034632084
106,185.8741777879715,191.2152286914213
107,189.3786088535309,191.21758332939126
108,192.6389564769745,191.44840309197977
109,192.915902645874,191.37508444065833
110,191.7587187013626,191.4229688494337
111,189.98856644949913,191.30857922987153
112,190.78279034366608,191.33809705771432
113,189.40528926415445,191.15995513587941
114,191.25996746239662,191.1393954023227
115,191.13945751013756,191.08689541250598
116,191.83400753498077,191.0181814900435
117,192.40776170444488,191.0882229000701
118,192.34160241699217,191.11966535867307
119,188.7941040836334,190.97743651050564
120,188.65403556632995,190.90326902310946
121,190.96779226303101,190.87317533658992
122,190.35669372739792,190.75339856789404
123,191.07743511955738,190.79007488594536
124,192.53836015491487,190.88894009122188
125,193.84365267372132,190.9357241579333
126,191.04202679166795,190.96271344644265
127,189.8143725168705,190.85350908625318
128,191.71810210895538,190.93026715365514
129,188.9758435438633,190.8644578724071
130,192.46367134552003,190.87887588189798
131,190.61764833955766,191.06861470396134
132,189.14917224979402,191.05943723981196
133,192.45386721601486,191.05203366937363
134,190.3202748892784,190.94820855910993
135,194.32952907772065,191.0510409741642
136,187.6046745016098,190.9556852962487
137,192.2448579454422,191.01416800031976
138,190.6858141145706,191.0653889943364
139,192.6393122332573,191.12056278517076
140,192.14323237757682,191.1607137798684
141,191.53301173648833,191.14867394792861
142,191.45637743399143,191.11061857711044
143,190.70850548963546,191.0452947000161
144,190.89220386905671,191.12921869143304
145,190.00627708339692,191.18330835211572
146,189.23829511170388,191.11412846606254
147,190.70110814056397,191.12790504258928
148,189.75929033966065,191.07517925139342
149,193.35977195892335,191.10803572355377
150,192.15136780433656,191.04034432877845
151,193.8833902428627,191.1539988668263
152,188.16771354255675,191.08813250785374
153,193.66760002839564,191.16611242463128
154,191.16073649330139,191.25350814260878
155,191.68958093690873,191.2225445262644
156,191.78367403116226,191.26918555392854
157,194.52495298995973,191.4842167835351
158,192.55730730133055,191.4883543869476
159,189.95871990089415,191.47389218741213
160,191.8380032772064,191.3742311553916
161,192.42551384963988,191.56706472931285
162,192.57611246294977,191.5803149100131
163,190.6919469631195,191.5805602239551
164,189.08998249328135,191.43858703435617
165,191.68771602458955,191.42036638023666
166,190.8631177833557,191.39357062211144
167,190.87381554956437,191.3702681467343
168,190.07788281121253,191.34504323959743
169,190.8724162311554,191.34425173408133
170,191.6679536602974,191.4107187971573
171,190.1604296409607,191.44760417832774
172,189.95124058609008,191.41760947614864
173,189.05081340751647,191.38927039886272
174,191.25669009199143,191.30514712418545
175,191.56305309753418,191.28161453591326
176,189.95958247756957,191.12466222530145
177,192.0539828710556,191.28011299844133
178,191.45036096725462,191.1914234359957
179,191.96053104286193,191.22341521797804
180,190.6911271772146,191.18347706759013
181,194.3792999493599,191.2873021043181
182,191.98773634910583,191.18581343868382
183,189.1493481051445,191.04949507083643
184,194.31929549255372,191.2239180945029
185,191.9571428868532,191.22868367888861
186,194.75645699481964,191.3219214046959
187,193.00932834320068,191.3392500399059
188,191.13119704129696,191.3568200430328
189,188.5838169520378,191.33657342138292
190,193.08727258033753,191.39255568361273
191,189.35418740758897,191.33219846858208
192,192.21136009294986,191.3857002503176
193,187.0125731361389,191.26308786331472
194,192.31834281578065,191.32092492669966
195,190.48879531297683,191.27375859280698
196,191.31047755908966,191.31976050953207
197,191.28385298938753,191.37306500566396
198,193.31767267427443,191.54373937633443
199,192.8701612262726,191.6082782217057
200,192.54651483221053,191.64761669109285
201,190.51527394294737,191.669844349708
202,191.48056506204605,191.64690763734777
203,192.0791441778183,191.67205896577042
204,192.47946312646866,191.69281624911468
205,190.56627873959542,191.68782231160992
206,189.85042690258027,191.5066673897387
207,190.80514749155046,191.45936383543653
208,193.10042218704223,191.61740679871232
209,192.13535629456044,191.5300492307925
210,188.02505396780967,191.3727656740308
211,191.36174785366057,191.23697730838438
212,187.7017868808508,191.02467564989055
213,193.80723067855834,191.13171699538128
214,193.76992094767093,191.33916115520668
215,191.7924069901705,191.28736653160013
216,192.62100153944493,191.41803909687442
217,187.54407428708078,191.23134766463946
218,192.39293700110912,191.44656221923825
219,195.24971712284088,191.56381719152066
220,192.98508492469787,191.6636687759895
221,188.17683593387605,191.53832311098085
222,192.07648984994887,191.57002858540335
223,191.911729159832,191.51379084482556
224,190.70305040624143,191.4271064120243
225,193.41254731721878,191.46174771142455
226,191.60777342672347,191.5054476907756
227,192.90355620040893,191.56236733631
228,191.84611006698609,191.5530459718767
229,190.5451483779192,191.47567338193477
230,191.44208155224322,191.5107054944409
231,191.44141429123877,191.57434498998714
232,191.14268613564968,191.5878465357513
233,192.470524011755,191.56265060873994
234,192.89889606440067,191.59319219953352
235,189.3849092786789,191.64758641196823
236,190.53157320461273,191.61437942600634
237,190.63453681843282,191.73168942350952
238,192.38529246513843,191.67481189497252
239,190.13290312786103,191.52933118218004
240,193.65808907814025,191.6039584656988
241,188.94898055005075,191.45707762612292
242,192.13138482141494,191.64057004749628
243,191.9190556082964,191.6216147917838
244,190.5719964594841,191.43450596524954
245,192.1265131034851,191.40016309240076
246,187.40835698623658,191.36942393449513
247,195.8516075820923,191.52042864378106
248,192.03328973302843,191.52529106670903
249,188.9780919973135,191.45629273035186
250,193.11894970750808,191.44454882596358
251,193.73976955432892,191.52982867106766
252,192.0190563632965,191.49444867758314
253,192.30588851451873,191.51283981548448
254,193.95371884183885,191.64918263404135
255,192.08319724452497,191.67482726173242
256,189.95656256301402,191.61543319260352
257,191.42702671413423,191.62680681574275
258,192.09682661049365,191.61185891969217
259,193.41628097274304,191.63255431602593
260,188.07644566888808,191.58021577163424
261,191.41137877788543,191.61540799456503
262,191.80290639705657,191.66214277770982
263,193.2604805480957,191.69715030102816
264,193.28913022842409,191.82339938505086
265,191.0207462305069,191.71790567114542
266,193.92699312386512,191.91702617409814
267,191.16292165338993,191.8782876473773
268,192.3131750694275,191.8940524258226
269,194.5324678993225,192.05247128341608
270,190.3711039577484,191.9822549175867
271,191.05484622831344,192.12811448726978
272,189.08144878132345,191.857308135239
273,193.24897568745612,191.90593557341606
274,194.84182721338271,192.14048498205898
275,192.82508350486756,192.12873033395329
276,192.85736104819776,192.09343399370817
277,188.86013139629364,191.96707699502818
278,190.4186151602745,191.8915860608584
279,191.29074869699477,191.7850672550645
280,187.05133970820904,191.583792953612
281,189.06212724075317,191.54801554072154
282,191.8962972499609,191.56678636215452
283,194.67783464772702,191.6700266836441
284,189.82815706825255,191.5265017274645
285,190.44595882866383,191.6212822538556
286,190.35541096019745,191.57904354114814
287,192.21318075466155,191.59545451545245
288,189.49769002628327,191.44494289458
289,190.62287265150547,191.33829259150312
290,193.99427543258668,191.45723375958653
291,191.04275955615043,191.3418644168778
292,191.32844346551894,191.34848528936303
293,190.39063396158218,191.27158364504896
294,190.59049001102449,191.11390452951716
295,195.0311716775894,191.30030723831092
296,188.57203150799273,191.2009946494983
297,191.08238244769572,191.2810319961532
298,192.9262953305483,191.26812478187696
299,190.0133298701048,191.0749848881457
300,193.63413812065124,191.10734707277706
301,189.9356989305973,190.99048058807296
302,192.1233396790743,191.12100891938434
303,191.78765235619545,191.175770407221
304,192.3132748650551,191.2166714539434
305,192.3407158307314,191.42824649884423
306,191.82331246888637,191.53869390796956
307,190.35919264628888,191.47720972382288
308,192.6476496471405,191.39600232379948
309,193.73584899082184,191.55231000070228
310,192.64918074417113,191.6404388773226
311,189.50276102027894,191.60633287972595
312,190.62296123077869,191.5427240987707
313,191.2103501200676,191.6112305025221
314,192.81460098114013,191.6988996357075
315,192.9030920228958,191.65525229931984
316,191.35159903964995,191.66760587865983
317,191.99645618171692,191.69432638730765
318,190.66810988273622,191.7054254241541
319,192.577477604723,191.7849049279021
320,190.0857666688919,191.58708872755406
321,192.57276007168292,191.74711787010165
322,190.3878654633045,191.71933719072607
323,191.3702271888733,191.65709446505906
324,191.40735263576508,191.71285537568562
325,190.30098537898064,191.57952926601865
326,193.88355584311486,191.73744354251946
327,189.80553191080094,191.64473123178846
328,189.92433623743057,191.57019858703802
329,193.32056315059663,191.61049011845986
330,192.8524833692074,191.63096081999888
331,193.3095874089241,191.69041181760053
332,192.37878421075345,191.77119548017916
333,191.1158980679512,191.70992541701153
334,192.04595700755118,191.64232973768085
335,189.05764008116722,191.4986681111608
336,190.4852959044218,191.53796950652642
337,191.67748643214702,191.5801505145812
338,194.7492540768385,191.72170667285187
339,191.85842310504913,191.68345955780825
340,188.69751737833022,191.51523657202546
341,191.95895497992038,191.53953080963635
342,189.7253452712059,191.44868637321576
343,193.58282939612866,191.56527515375114
344,191.0227897615671,191.5030876400249
345,190.34016603376867,191.5132636146201
346,188.63451198990344,191.35573369134886
347,191.98432526712418,191.41959208350164
348,194.93532756698133,191.562196098626
349,193.0251099191904,191.62690638996312
350,192.56342767457963,191.71740408178738
351,190.7207318198204,191.59089112085553
352,189.84859071166517,191.59261347289024
353,194.44915345783232,191.77360616170597
354,192.05830581064225,191.7231158681077
355,193.85532758541106,191.7632296367557
356,193.33359117531776,191.7641897874116
357,191.72453795013428,191.73801993698697
358,190.58396943149566,191.71674279152853
359,192.85711401610374,191.74918907187063
360,196.28176333642006,192.03815400208055
361,190.5003820722103,192.03875744879187
362,190.76092424736024,192.00209496140013
363,192.18823040571212,191.89965401455498
364,189.1415930619955,191.790980812833
365,189.30095712804794,191.81511840282153
366,191.72033290672303,191.8055735198938
367,187.96048214211464,191.73497899473006
368,190.88738412065507,191.62716118371114
369,191.10855993423462,191.6305919906177
370,188.78890438437463,191.56854152464192
371,192.23742416336538,191.71265801158034
372,192.23184074053765,191.72255863051686
373,189.0860114827633,191.4885859871481
374,189.99553714399337,191.36740307613974
375,191.28098131198882,191.31610522163567
376,191.23338011860847,191.336611153587
377,192.34611835975647,191.43651225951035
378,193.02492891330718,191.37954327772954
379,192.2213581662178,191.38606537195272
380,190.11597340664864,191.2364912048023
381,195.11356597647668,191.3076901968481
382,191.71416497364044,191.30727527778828
383,194.23858667502404,191.45345996752962
384,194.39751945495607,191.5150761850836
385,193.72562590119838,191.41283068767459
386,186.28714097585677,191.24430104382046
387,190.04585732860565,191.2156983670703
388,192.43318288898467,191.22549646640138
389,191.73478855190277,191.32922428599733
390,191.1868219552517,191.4046588790859
391,192.18196013202666,191.42312396809808
392,193.8540819644928,191.65886796099366
393,192.2437922205925,191.71312428499107
394,191.3566145387411,191.72304646917152
395,193.1109141775131,191.89592686089688
396,188.06978601531983,191.72922133497485
397,190.18375400152206,191.6472978654143
398,193.25877352437973,191.8142083470791
399,193.57285749900342,191.9573011612799
400,194.07519424829482,192.0690696787322
401,192.36204246623515,192.11421617263753
402,193.9865607219696,192.17983386712615
403,192.60719290008544,192.1631244265975
404,191.39707472233772,192.13015308884206
405,192.72764548690319,192.23461997205217
406,195.7048832561493,192.2582726632396
407,192.67733187861444,192.29679933943845
408,193.88127631554605,192.28250692505912
409,194.6794749019146,192.29378514293757
410,191.49853734836577,192.20470160082448
411,190.59647430830003,192.3770749341225
412,193.011364037776,192.49569520248974
413,191.67333841226102,192.4653014234209
414,192.4203514008522,192.4927239373792
415,191.17193320286273,192.4921283872833
416,194.02561750717163,192.56587468228884
417,193.05826146059036,192.53404186213274
418,191.57136172480583,192.5071446423017
419,186.95800739955902,192.33120035673434
420,190.52738354492186,192.22785913143073
421,191.99314994006156,192.38479368842033
422,192.39517386455535,192.47325048294152
423,188.47591574356557,192.2819361717085
424,193.128071764946,192.26414474234625
425,191.81813589112758,192.17386240805965
426,189.45598402218818,192.05762007029784
427,192.30211370494365,191.99024218961713
428,192.854991386199,192.00015412906126
429,194.81412206277847,192.13683602267875
430,190.84191940169333,192.0614069792704
431,192.67248421339988,191.94011101756013
432,187.9119820523262,191.74949702450832
433,192.01289611024856,191.67476181629638
434,192.40454367103575,191.58376456706085
435,193.66058309912682,191.67024639709155
436,191.68692683837415,191.7138644982944
437,190.59835983777046,191.61734433029372
438,192.01978458998204,191.63120217740246
439,193.05006599538325,191.6563907611836
440,191.8209014549494,191.68234949126725
441,191.95338631255626,191.5994602434826
442,190.7507808873415,191.50716102055216
443,192.21830194625855,191.53303862940984
444,192.6787408339262,191.76186796678462
445,187.0315554983139,191.62203484492028
446,191.88715920352936,191.61779521545918
447,192.40715055470466,191.61827428306512
448,190.73426378629208,191.7086082047742
449,192.6107532895088,191.68791546575667
450,189.77573213489055,191.60621931550733
451,191.25121525111197,191.67802856466443
452,189.7148908343792,191.5745396498416
453,191.48160737924576,191.51960428956372
454,191.5709330159426,191.38987672769056
455,192.627180937624,191.46128718912777
456,190.729310861063,191.38356025503424
457,192.69434275689125,191.57485468321713
458,191.82643736047746,191.56739633322636
459,191.75131669692993,191.54126725426235
460,195.70852866117954,191.62318507674442
461,190.16562788238525,191.56233311850463
462,190.98283065962792,191.5777119513793
463,192.12084597306253,191.58175440670283
464,191.73655323216914,191.52921389617433
465,191.42852357888222,191.51351878113172
466,193.24751230716706,191.56528382091608
467,194.0858518748045,191.69868666041467
468,191.3442759603262,191.66372562097735
469,192.7494868753195,191.6665554626327
470,193.51795371713638,191.92601139138569
471,190.83431061520577,191.88389744785266
472,190.52877218754293,191.80876231316594
473,193.10333957512378,191.90352534471953
474,186.37704976558686,191.6541772037628
475,191.47418188138008,191.7221151936223
476,189.97787291269302,191.6711815000855
477,189.41691057100297,191.65926228955038
478,193.04427683136464,191.72176906763517
479,193.17870626270772,191.78607999750588
480,194.26901318032742,191.85175328721408
481,190.5519232326746,191.8446577820787
482,192.48088225517273,191.83611936200992
483,189.24074249043466,191.73269156720838
484,189.19630616514684,191.63049114593713
485,190.2349397637844,191.4115475900413
486,195.21434784209728,191.61349638842978
487,194.94565555849076,191.77200938438415
488,191.67080530557632,191.75400775768446
489,190.01862444210053,191.68529060608182
490,193.23883528432847,191.75770307429949
491,192.4224283185482,191.72469971475482
492,190.12755033631325,191.56636765321542
493,193.8190125127554,191.66535711531296
494,193.0650237963438,191.6779785921541
495,192.26562647106647,191.62788550231141
496,191.16331413071157,191.64104564293172
497,191.1859938292265,191.6673345085996
498,190.8651195497036,191.57780570758274
499,190.67248761975765,191.7496232217492
